Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES0500000003,2006,M03,2006 Mar,20.04, N/A, N/A
CES0500000003,2006,M04,2006 Apr,20.16,0.12,0.6
CES0500000003,2006,M05,2006 May,20.13,-0.03,-0.1
CES0500000003,2006,M06,2006 Jun,20.22,0.09,0.4
CES0500000003,2006,M07,2006 Jul,20.30,0.08,0.4
CES0500000003,2006,M08,2006 Aug,20.32,0.02,0.1
CES0500000003,2006,M09,2006 Sep,20.41,0.09,0.4
CES0500000003,2006,M10,2006 Oct,20.44,0.03,0.1
CES0500000003,2006,M11,2006 Nov,20.48,0.04,0.2
CES0500000003,2006,M12,2006 Dec,20.57,0.09,0.4
CES0500000003,2007,M01,2007 Jan,20.60,0.03,0.1
CES0500000003,2007,M02,2007 Feb,20.68,0.08,0.4
CES0500000003,2007,M03,2007 Mar,20.72,0.04,0.2
CES0500000003,2007,M04,2007 Apr,20.79,0.07,0.3
CES0500000003,2007,M05,2007 May,20.84,0.05,0.2
CES0500000003,2007,M06,2007 Jun,20.95,0.11,0.5
CES0500000003,2007,M07,2007 Jul,20.95,0.00,0.0
CES0500000003,2007,M08,2007 Aug,21.00,0.05,0.2
CES0500000003,2007,M09,2007 Sep,21.04,0.04,0.2
CES0500000003,2007,M10,2007 Oct,21.06,0.02,0.1
CES0500000003,2007,M11,2007 Nov,21.12,0.06,0.3
CES0500000003,2007,M12,2007 Dec,21.18,0.06,0.3
CES0500000003,2008,M01,2008 Jan,21.19,0.01,0.0
CES0500000003,2008,M02,2008 Feb,21.26,0.07,0.3
CES0500000003,2008,M03,2008 Mar,21.36,0.10,0.5
CES0500000003,2008,M04,2008 Apr,21.38,0.02,0.1
CES0500000003,2008,M05,2008 May,21.47,0.09,0.4
CES0500000003,2008,M06,2008 Jun,21.52,0.05,0.2
CES0500000003,2008,M07,2008 Jul,21.59,0.07,0.3
CES0500000003,2008,M08,2008 Aug,21.70,0.11,0.5
CES0500000003,2008,M09,2008 Sep,21.72,0.02,0.1
CES0500000003,2008,M10,2008 Oct,21.76,0.04,0.2
CES0500000003,2008,M11,2008 Nov,21.88,0.12,0.6
CES0500000003,2008,M12,2008 Dec,21.94,0.06,0.3
CES0500000003,2009,M01,2009 Jan,21.97,0.03,0.1
CES0500000003,2009,M02,2009 Feb,21.99,0.02,0.1
CES0500000003,2009,M03,2009 Mar,22.06,0.07,0.3
CES0500000003,2009,M04,2009 Apr,22.09,0.03,0.1
CES0500000003,2009,M05,2009 May,22.10,0.01,0.0
